Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating,
Whirlpool,270 L,Triple Door,N/A,"₹ 28,490",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 41,990",23% off,4.3,
Whirlpool,235 L,Triple Door,N/A,"₹ 25,990",29% off,4.5,
LG,242 L,Double Door,3 Star,"₹ 69,990",29% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 21,990",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 25,990",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 61,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 25,749",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 32,990",40% off,4.3,
Voltas,472 L,Side by Side,N/A,"₹ 49,990",30% off,4.2,
Whirlpool,235 L,Double Door,2 Star,"₹ 23,777",26% off,4.1,
LG,272 L,Double Door,3 Star,"₹ 29,990",25% off,4.1,
Whirlpool,235 L,Double Door,3 Star,"₹ 25,490",21% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 27,490",29% off,4.4,
LG,264 L,Double Door,2 Star,"₹ 28,990",28% off,4.3,
CANDY,328 L,Double Door,3 Star,"₹ 26,990",29% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 50,990",42% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 34,990",24% off,4.4,
Haier,268 L,Double Door,2 Star,"₹ 42,490",32% off,4.3,
LG,398 L,Double Door,3 Star,"₹ 24,990",37% off,4.1,
Voltas,563 L,Side by Side,N/A,"₹ 26,490",28% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 45,990",31% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 53,990",26% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 32,990",25% off,4.1,
Whirlpool,270 L,Triple Door,N/A,"₹ 32,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 59,990",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 25,190",23% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 28,990",42% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 23,990",24% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 35,490",29% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 39,990",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 61,990",27% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 24,990",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 27,270",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 26,190",29% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 43,990",30% off,4.3,
Whirlpool,235 L,Double Door,3 Star,"₹ 29,999",26% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 63,990",21% off,4.1,
LG,264 L,Double Door,2 Star,"₹ 24,790",28% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 24,490",29% off,4.4,
Godrej,472 L,Double Door,2 Star,"₹ 24,990",25% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 28,050",31% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 24,490",37% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 26,590",32% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 27,490",28% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 44,990",24% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 74,990",42% off,4.4,
Whirlpool,300 L,Triple Door,N/A,"₹ 59,990",26% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 93,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 22,490",29% off,4.5,
Whirlpool,235 L,Triple Door,N/A,"₹ 32,990",23% off,4.3,
Haier,596 L,Side by Side,N/A,"₹ 34,990",29% off,4.4,
Whirlpool,236 L,Single Door,5 Star,"₹ 23,490",42% off,4.5,
LG,242 L,Double Door,3 Star,"₹ 26,590",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 27,980",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 47,990",19% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 49,990",25% off,4.1,
Voltas,472 L,Side by Side,N/A,"₹ 54,490",40% off,4.3,
Whirlpool,235 L,Double Door,2 Star,"₹ 26,950",25% off,4.3,
LG,272 L,Double Door,3 Star,"₹ 29,990",29% off,4.2,
Whirlpool,235 L,Double Door,3 Star,"₹ 29,990",30% off,4.1,
Godrej,272 L,Double Door,3 Star,"₹ 32,050",26% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 33,290",21% off,4.4,
LG,264 L,Double Door,2 Star,"₹ 24,550",29% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 25,990",28% off,4.1,
Haier,325 L,Double Door,3 Star,"₹ 24,890",25% off,4.1,
Godrej,436 L,Double Door,2 Star,"₹ 36,890",37% off,4.3,
Haier,268 L,Double Door,2 Star,"₹ 50,890",32% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 72,990",24% off,4.3,
LG,398 L,Double Door,3 Star,"₹ 25,990",42% off,4.4,
Voltas,563 L,Side by Side,N/A,"₹ 24,990",28% off,4.3,
Whirlpool,300 L,Triple Door,N/A,"₹ 30,740",31% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 24,990",25% off,4.3,
Whirlpool,235 L,Triple Door,N/A,"₹ 22,990",23% off,4.5,
LG,343 L,Double Door,3 Star,"₹ 27,450",29% off,4.3,
LG,242 L,Double Door,3 Star,"₹ 30,740",29% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 30,990",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 24,000",24% off,4.3,
Haier,602 L,Side by Side,N/A,"₹ 26,490",43% off,4.5,
Whirlpool,240 L,Triple Door,N/A,"₹ 26,790",27% off,4.3,
Voltas,472 L,Side by Side,N/A,"₹ 39,990",40% off,4.1,
LG,272 L,Double Door,3 Star,"₹ 27,990",30% off,4.3,
Whirlpool,235 L,Double Door,3 Star,"₹ 30,990",26% off,4.3,
Whirlpool,308 L,Double Door,3 Star,"₹ 24,990",25% off,4.2,
Godrej,272 L,Double Door,3 Star,"₹ 37,990",21% off,4.1,
LG,264 L,Double Door,2 Star,"₹ 31,690",29% off,4.2,
CANDY,328 L,Double Door,3 Star,"₹ 23,799",28% off,4.4,
Whirlpool,235 L,Double Door,2 Star,"₹ 32,990",29% off,4.3,
Voltas,563 L,Side by Side,N/A,"₹ 29,999",42% off,4.1,
LG,398 L,Double Door,3 Star,"₹ 38,990",24% off,4.1,
Haier,268 L,Double Door,2 Star,"₹ 32,990",32% off,4.3,
Godrej,436 L,Double Door,2 Star,"₹ 25,240",37% off,4.4,
LG,240 L,Double Door,3 Star,"₹ 24,990",28% off,4.3,
Haier,325 L,Double Door,3 Star,"₹ 23,959",31% off,4.4,
Whirlpool,300 L,Triple Door,N/A,"₹ 33,819",26% off,4.3,
Godrej,472 L,Double Door,2 Star,"₹ 23,999",25% off,4.3,
Whirlpool,270 L,Triple Door,N/A,"₹ 27,990",25% off,4.3,
LG,343 L,Double Door,3 Star,"₹ 37,490",29% off,4.3,
Whirlpool,235 L,Triple Door,N/A,"₹ 28,480",23% off,4.5,
LG,242 L,Double Door,3 Star,"₹ 26,517",29% off,4.4,
Haier,596 L,Side by Side,N/A,"₹ 60,990",42% off,4.5,
Whirlpool,236 L,Single Door,5 Star,"₹ 26,999",24% off,4.3,
