Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating
Whirlpool,270 L,Triple Door,4 Star,28490.0,25.0,4.3
LG,343 L,Double Door,3 Star,41990.0,23.0,4.3
Whirlpool,235 L,Triple Door,4 Star,25990.0,29.0,4.5
LG,242 L,Double Door,3 Star,69990.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,21990.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,25990.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,61990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,25749.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,32990.0,40.0,4.3
Voltas,472 L,Side by Side,3 Star,49990.0,30.0,4.2
Whirlpool,235 L,Double Door,2 Star,23777.0,26.0,4.1
LG,272 L,Double Door,3 Star,29990.0,25.0,4.1
Whirlpool,235 L,Double Door,3 Star,25490.0,21.0,4.2
Godrej,272 L,Double Door,3 Star,27490.0,29.0,4.4
LG,264 L,Double Door,2 Star,28990.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,26990.0,29.0,4.3
Godrej,472 L,Double Door,2 Star,50990.0,42.0,4.3
Godrej,436 L,Double Door,2 Star,34990.0,24.0,4.4
Haier,268 L,Double Door,2 Star,42490.0,32.0,4.3
LG,398 L,Double Door,3 Star,24990.0,37.0,4.1
Voltas,563 L,Side by Side,3 Star,26490.0,28.0,4.4
LG,240 L,Double Door,3 Star,45990.0,31.0,4.3
Haier,325 L,Double Door,3 Star,53990.0,26.0,4.3
Whirlpool,300 L,Triple Door,4 Star,32990.0,25.0,4.1
Whirlpool,270 L,Triple Door,4 Star,32990.0,25.0,4.3
LG,343 L,Double Door,3 Star,59990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,25190.0,23.0,4.3
LG,242 L,Double Door,3 Star,28990.0,42.0,4.4
Haier,596 L,Side by Side,3 Star,23990.0,24.0,4.5
Whirlpool,236 L,Single Door,5 Star,35490.0,29.0,4.3
Haier,602 L,Side by Side,3 Star,39990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,61990.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,24990.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,27270.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,26190.0,29.0,4.3
LG,272 L,Double Door,3 Star,43990.0,30.0,4.3
Whirlpool,235 L,Double Door,3 Star,29999.0,26.0,4.2
Godrej,272 L,Double Door,3 Star,63990.0,21.0,4.1
LG,264 L,Double Door,2 Star,24790.0,28.0,4.2
CANDY,328 L,Double Door,3 Star,24490.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,24990.0,25.0,4.3
Godrej,436 L,Double Door,2 Star,28050.0,31.0,4.1
Haier,268 L,Double Door,2 Star,24490.0,37.0,4.1
LG,398 L,Double Door,3 Star,26590.0,32.0,4.3
Voltas,563 L,Side by Side,3 Star,27490.0,28.0,4.4
LG,240 L,Double Door,3 Star,44990.0,24.0,4.3
Haier,325 L,Double Door,3 Star,74990.0,42.0,4.4
Whirlpool,300 L,Triple Door,4 Star,59990.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,93990.0,25.0,4.3
LG,343 L,Double Door,3 Star,22490.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,32990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,34990.0,29.0,4.4
Whirlpool,236 L,Single Door,5 Star,23490.0,42.0,4.5
LG,242 L,Double Door,3 Star,26590.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,27980.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,47990.0,19.0,4.3
